,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2023,EX,FT,Data Science Director,212000,USD,212000,US,0,US,M
1,2023,EX,FT,Data Science Director,190000,USD,190000,US,0,US,M
2,2023,MI,FT,Business Intelligence Engineer,35000,GBP,43064,GB,0,GB,M
3,2023,SE,FT,Machine Learning Engineer,245700,USD,245700,US,0,US,M
4,2023,SE,FT,Machine Learning Engineer,132300,USD,132300,US,0,US,M
5,2023,MI,FT,Data Specialist,90000,USD,90000,US,0,US,M
6,2023,MI,FT,Data Specialist,80000,USD,80000,US,0,US,M
7,2023,SE,FT,Machine Learning Engineer,212000,USD,212000,US,0,US,M
8,2023,SE,FT,Machine Learning Engineer,93300,USD,93300,US,0,US,M
9,2023,MI,FT,Data Scientist,212000,USD,212000,US,0,US,M
10,2023,MI,FT,Data Scientist,93300,USD,93300,US,0,US,M
11,2023,SE,FT,ML Engineer,276000,USD,276000,US,0,US,M
12,2023,SE,FT,ML Engineer,174000,USD,174000,US,0,US,M
13,2023,MI,FT,Data Engineer,133000,USD,133000,US,0,US,M
14,2023,MI,FT,Data Engineer,58300,USD,58300,US,0,US,M
15,2023,SE,FT,Data Analyst,145640,USD,145640,US,0,US,M
16,2023,SE,FT,Data Analyst,84400,USD,84400,US,0,US,M
17,2023,SE,FT,Data Engineer,300000,USD,300000,US,100,US,M
18,2023,SE,FT,Data Engineer,195000,USD,195000,US,100,US,M
19,2023,SE,FT,Data Architect,190000,USD,190000,CA,100,CA,M
20,2023,SE,FT,Data Architect,107500,USD,107500,CA,100,CA,M
21,2023,SE,FT,Data Analyst,105000,USD,105000,US,0,US,M
22,2023,SE,FT,Data Analyst,75000,USD,75000,US,0,US,M
23,2023,SE,FT,Data Analyst,140000,USD,140000,US,100,US,M
24,2023,SE,FT,Data Analyst,98000,USD,98000,US,100,US,M
25,2023,SE,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
26,2023,SE,FT,Machine Learning Engineer,142200,USD,142200,US,0,US,M
27,2023,SE,FT,Data Scientist,236160,USD,236160,US,100,US,M
28,2023,SE,FT,Data Scientist,159408,USD,159408,US,100,US,M
29,2023,SE,FT,Data Analyst,115000,USD,115000,US,100,US,M
30,2023,SE,FT,Data Analyst,85000,USD,85000,US,100,US,M
31,2023,SE,FT,Data Product Manager,145000,USD,145000,US,0,US,M
32,2023,SE,FT,Data Product Manager,120000,USD,120000,US,0,US,M
33,2023,SE,FT,Data Analyst,120350,USD,120350,US,100,US,M
